English,Russian,Ukrainian
Pidluky,Подлуки,Підлуки
Psilske,Псельское,Псільське
Ustyvytsia,Устивица,Устивиця
Bodakva,Бодаква,Бодаква
Zamoriivka,Замориевка,Заморіївка
Nyzhnia Budakivka,Нижняя Будаковка,Нижня Будаківка
Pisochky,Песочки,Пісочки
Khruli,Хрули,Хрулі
Chervoni Luky,Червоные Луки,Червоні Луки
Yaremivshchyna,Яремовщина,Яремівщина
Komyshnia,Камышня,Комишня
Bezvodivka,Безводовка,Безводівка
Buluky,Булуки,Булуки
Velyka Hremiacha,Великая Гремячая,Велика Грем'яча
Verkhnia Budakivka,Верхняя Будаковка,Верхня Будаківка
Vovky,Волки,Вовки
Hasenky,Гасенки,Гасенки
Zalizniaky,Зализняки,Залізняки
Zuivtsi,Зуевцы,Зуївці
Kliushnykivka,Клюшнивковка,Клюшниківка
Mala Hremiacha,Малая Гремячая,Мала Грем'яча
Mokrii,Мокрии,Мокрії
Onatske,Онацкое,Онацьке
Panchenky,Панченки,Панченки
Prokopovychi,Прокоповичи,Прокоповичі
Radchenkove,Радченково,Радченкове
Sazhka,Сажка,Сажка
Synoshchoky,Синещеки,Синьощоки
Skydanky,Скиданки,Скиданки
Sokhatske,Сохацкое,Сохацьке
Cherkashchany,Черкащаны,Черкащани
Shtompeli,Штомпели,Штомпелі
Shulhy,Шульги,Шульги
Krasna Luka,Красная Лука,Красна Лука
Bukhalove,Бухалово,Бухалове
Zmazhyne,Змажино,Змажине
Mala Pobyvanka,Малая Побиванка,Мала Побиванка
Pyriatynshchyna,Пирятинщина,Пирятинщина
Svatky,Сватки,Сватки
Tryhubshchyna,Тригубщина,Тригубщина
Tsymbalove,Цымбалово,Цимбалове
Tsipky,Цепки,Ціпки
Lokhvytsia,Лохвица,Лохвиця
Arkhypivka,Архиповка,Архипівка
Bezsaly,Безсалы,Безсали
Berbenytsi,Бербеныци,Бербениці
Bilohorilka,Белогорилка,Білогорілка
Venslavy,Венславы,Венслави
Haivshchyna,Гаевщина,Гаївщина
Hyriavi Iskivtsi,Гирявые Исковцы,Гиряві Ісківці
Derekivshchyna,Дерековщина,Дереківщина
Dibrivne,Дибровное,Дібрівне
Zhabky,Жабки,Жабки
Zapadyntsi,Западинцы,Западинці
Mekhedivka,Мехедовка,Мехедівка
Parnytske,Парницкое,Парницьке
Pestychevske,Пестечевское,Пестичевське
Poharshchyna,Погарщина,Погарщина
Puchkivshchyna,Пучковщина,Пучківщина
Ryhy,Риги,Риги
Romanykha,Романиха,Романиха
Ruchky,Ручки,Ручки
Sokyrykha,Сокириха,Сокириха
Stepuky,Степуки,Степуки
Tokari,Токари,Токарі
Khrystanivka,Христановка,Христанівка
Chervona Slobidka,Червоная Слободка,Червона Слобідка
Chyzhi,Чижи,Чижі
Shmyhli,Шмыгли,Шмиглі
Yuskivtsi,Юсковцы,Юсківці
Yakhnyky,Яхники,Яхники
Yashnyky,Яшники,Яшники
Liutenka,Лютенька,Лютенька
Kruhle Ozero,Круглое Озеро,Кругле Озеро
Mala Obukhivka,Малая Обуховка,Мала Обухівка
Rashivka,Рашевка,Рашівка
Soldatove,Солдатово,Солдатове
Myrhorod,Миргород,Миргород
Biieve,Беево,Бієве
Bilyky,Белики,Білики
Vovnianka,Вовнянка,Вовнянка
Harkushyntsi,Гаркушинцы,Гаркушинці
Derkachi,Деркачи,Деркачі
Yemtsi,Емцы,Ємці
Yerky,Ерки,Єрки
Kybyntsi,Кибинцы,Кибинці
Kotliari,Котляры,Котлярі
Leshchenky,Лещенки,Лещенки
Liubivshchyna,Любовщина,Любівщина
Mali Sorochyntsi,Малые Сорочинцы,Малі Сорочинці
Marchenky,Марченки,Марченки
Mylashenkove,Милашенково,Милашенкове
Nosenky,Носенки,Носенки
Osove,Осово,Осове
Petrivtsi,Петровцы,Петрівці
Stovbyne,Столбино,Стовбине
Trudoliub,Трудолюб,Трудолюб
Yarmaky,Ярмаки,Ярмаки
Petrivka-Romenska,Петровка-Роменская,Петрівка-Роменська
Baliasne,Балясное,Балясне
Berezova Luka,Березовая Лука,Березова Лука
Veneslavivka,Венеславовка,Венеславівка
Vetkhalivka,Ветхаловка,Ветхалівка
Konovalove,Коновалово,Коновалове
Lykhopillia,Лихопоье,Лихопілля
Seredniaky,Середняки,Середняки
Romodan,Ромодан,Ромодан
Velychkivka,Величковка,Величківка
Koniusheve,Конюшево,Конюшеве
Novoorikhivka,Новоореховка,Новооріхівка
Sencha,Сенча,Сенча
Beshty,Бешты,Бешти
Vyrishalne,Выришальное,Вирішальне
Driukivshchyna,Дрюковщина,Дрюківщина
Zhdany,Жданы,Ждани
Korsunivka,Корсуновка,Корсунівка
Luchka,Лучка,Лучка
Ovdiivka,Овдиевка,Овдіївка
Plaskivshchyna,Пласковщина,Пласківщина
Pototskivshchyna,Потоцковщина,Потоцьківщина
Saranchyne,Саранчино,Саранчине
Skorobahatky,Скоробагатки,Скоробагатьки
Slozykha,Слозиха,Сльозиха
Chasnykivka,Часниковка,Часниківка
Sheky,Шеки,Шеки
Shkadrety,Шкадретов,Шкадрети
Vechirchyne,Вечирчино,Вечірчине
Kalynivshchyna,Калиновщина,Калинівщина
Kachanove,Качаново,Качанове
Kramarshchyna,Крамарщина,Крамарщина
Lobodyne,Лободино,Лободине
Rozbyshivka,Розбишевка,Розбишівка
Bilashi,Белаши,Білаші
Bukhuny,Бухуны,Бухуни
Velyka Buzova,Великая Бузова,Велика Бузова
Velykyi Pereviz,Великий Перевоз,Великий Перевіз
Velychkove,Величково,Величкове
Verteletske,Вертелецкое,Вертелецьке
Voronianshchyna,Воронянщина,Воронянщина
Hnatenky,Гнатенки,Гнатенки
Honchari,Гончары,Гончарі
Hryhorivshchyna,Григоровщина,Григорівщина
Demianky,Демьянки,Дем'янки
Zhorzhivka,Жоржевка,Жоржівка
Kyrpotivka,Кирпотовка,Кирпотівка
Kyselykha,Киселиха,Киселиха
Koverdyna Balka,Ковердина Балка,Ковердина Балка
Koliady,Коляды,Коляди
Kryvoruchky,Криворучки,Криворучки
Leheidy,Легейды,Легейди
Leshchany,Лещаны,Лещани
Lutsi,Луци,Луці
Mala Buzova,Малая Бузова,Мала Бузова
Malyi Pereviz,Малый Перевоз,Малий Перевіз
Malykivshchyna,Маликовщина,Маликівщина
Manachynivka,Маначинивка,Маначинівка
Maslivtsi,Масловцы,Маслівці
Miroshnyky,Мирошники,Мірошники
Naumenky,Науменки,Науменки
Nyzhni Yaresky,Нижние Яреськи,Нижні Яреськи
Nyzova Yakovenshchyna,Низовая Яковенщина,Низова Яковенщина
Nosy,Носы,Носи
Pelaheivka,Пелагеевка,Пелагеївка
Perevodchykove,Переводчиково,Переводчикове
Porskalivka,Порскалевка,Порскалівка
Pryntseve,Принцево,Принцеве
Rymyhy,Римиги,Римиги
Salymivshchyna,Салимовщина,Салимівщина
Sulymy,Сулимы,Сулими
Tyshchenky,Тищенки,Тищенки
Fedunka,Федунка,Федунка
Kharenky,Харенки,Харенки
Khvalky,Хвальки,Хвальки
Khvoshchove,Хвощово,Хвощове
Khodosykha,Ходосиха,Ходосиха
Khrystivka,Христевка,Христівка
Tsovy,Цевы,Цьови
Chernyshivka,Чернышовка,Чернишівка
Chornobai,Чернобаи,Чорнобаї
Sharlaivka,Шарлаевка,Шарлаївка
Shafranivka,Шафрановка,Шафранівка
Shvadrony,Швадроны,Швадрони
Yakovenshchyna-Horova,Яковенщина-Горовая,Яковенщина-Горова
Yaresky,Яреськи,Яреськи
Berezhnivka,Бережновка,Бережнівка
Bilokonivka,Белоконовка,Білоконівка
Vitrova Balka,Ветрова Балка,Вітрова Балка
Dryzhyna Hreblia,Дрижина Гребля,Дрижина Гребля
Zhyrky,Жирки,Жирки
Kustolovi Kushchi,Кустоловы Кущи,Кустолові Кущі
Rubany,Рубаны,Рубани
Svichkareve,Свечкарево,Свічкареве
Slavnivka,Славновка,Славнівка
Chervoni Kvity,Червоные Квиты,Червоні Квіти
Chorbivka,Чорбовка,Чорбівка
Shapky,Шапки,Шапки
Velyka Rublivka,Великая Рублевка,Велика Рублівка
Vorony,Вороны,Ворони
Hetmanka,Гетманка,Гетьманка
Hlobivka,Глобовка,Глобівка
Zaitsi,Зайцы,Зайці
Zaitsi Druhi,Зайцы Вторые,Зайці Другі
Zuby,Зубы,Зуби
Kovzhyzha,Ковжижа,Ковжижа
Kozlivshchyna,Козловщина,Козлівщина
Laburivka,Лабуревка,Лабурівка
Lykhachivka,Лихачовка,Лихачівка
Mala Rublivka,Малая Рублевка,Мала Рублівка
Mykilka,Николка,Микілка
Myloradove,Милорадово,Милорадове
Pidvarivka,Подваровка,Підварівка
Tereshchenky,Терещенки,Терещенки
Chobotari,Чеботари,Чоботарі
Dykanka,Диканька,Диканька
Andrenky,Андренки,Андренки
Velyka Rudka,Великая Рудка,Велика Рудка
Vodiana Balka,Водяная Балка,Водяна Балка
Havrontsi,Гавронцы,Гавронці
Hlody,Глоды,Глоди
Horbativka,Горбатовка,Горбатівка
Horianshchyna,Горянщина,Горянщина
Deinekivka,Дейнековка,Дейнеківка
Diachkove,Дьячково,Дячкове
Kardashivka,Кардашовка,Кардашівка
Klymkivka,Климковка,Климківка
Kokozivka,Кокозовка,Кокозівка
Kononenky,Кононенки,Кононенки
Kratova Hovtva,Кратова Говтва,Кратова Говтва
Landari,Ландари,Ландарі
Mala Rudka,Малая Рудка,Мала Рудка
Neliubivka,Нелюбовка,Нелюбівка
Odariukivka,Одарюковка,Одарюківка
Olefirshchyna,Олефирщина,Олефірщина
Ordanivka,Ордановка,Орданівка
Petro-Davydivka,Петро-Давыдовка,Петро-Давидівка
Proni,Прони,Проні
Syvtsi,Сивцы,Сивці
Slynkiv Yar,Слиньков Яр,Слиньків Яр
Sokhatska Balka,Сохацкая Балка,Сохацька Балка
Stasi,Стаси,Стасі
Chernechyi Yar,Чернечий Яр,Чернечий Яр
Cherneshchyna,Чернещина,Чернещина
Yarokhivka,Яроховка,Ярохівка
Drabynivka,Драбиновка,Драбинівка
Vilnyi Step,Вольная Степь,Вільний Степ
Halushchyna Hreblia,Галущина Гребля,Галущина Гребля
Dovha Pustosh,Долгая Пустошь,Довга Пустош
Dudkyn Hai,Дудкин Гай,Дудкин Гай
Kustolove,Кустолово,Кустолове
Mali Solontsi,Малые Солонцы,Малі Солонці
Mushyna Hreblia,Мушина Гребля,Мушина Гребля
Sukha Maiachka,Сухая Маячка,Суха Маячка
Zinkiv,Зеньков,Зіньків
Arteliarshchyna,Артелярщина,Артелярщина
Bobrivnyk,Бобровник,Бобрівник
Vasyle-Ustymivka,Василе-Устимовка,Василе-Устимівка
Vasylkove,Васильково,Василькове
Velyka Pavlivka,Великая Павловка,Велика Павлівка
Velyka Pozharnia,Великая Пожарня,Велика Пожарня
Haliika,Галийка,Галійка
Husaky,Гусаки,Гусаки
Dadakalivka,Дадакаловка,Дадакалівка
Damaska,Дамаска,Дамаска
Deikalivka,Дейкаловка,Дейкалівка
Dovbnivka,Довбневка,Довбнівка
Dubiahy,Дубяги,Дуб'яги
Dubianshchyna,Дубянщина,Дуб'янщина
Zahrunivka,Загруновка,Загрунівка
Ishchenkivka,Ищенковка,Іщенківка
Kyrylo-Hannivka,Кирилло-Анновка,Кирило-Ганнівка
Kilochky,Килочки,Кілочки
Kniazheva Sloboda,Княжева Слобода,Княжева Слобода
Kosiaky,Косяки,Косяки
Lahody,Лагоды,Лагоди
Liutenski Budyshcha,Лютенские Будища,Лютенські Будища
Makukhy,Макухи,Макухи
Manylivka,Маниловка,Манилівка
Morozy,Морозы,Морози
Pelenkivshchyna,Пеленковщина,Пеленківщина
Petro-Hannivka,Петро-Анновка,Петро-Ганнівка
Pyshnenky,Пышненки,Пишненки
Pidozirka,Подозерка,Підозірка
Pirky,Пирки,Пірки
Romany,Романы,Романи
Rudenky-Honchari,Руденки-Гончары,Руденки-Гончарі
Saranchivka,Саранчовка,Саранчівка
Svichkarivshchyna,Свечкаревщина,Свічкарівщина
Syverynivka,Сивериновка,Сиверинівка
Slynkivshchyna,Слинковщина,Слинківщина
Stara Mykhailivka,Старая Михайловка,Стара Михайлівка
Strilevshchyna,Стрелевщина,Стрілевщина
Tymchenky,Тимченки,Тимченки
Udovychenky,Удовиченки,Удовиченки
Khrapachiv Yar,Храпачов Яр,Храпачів Яр
Khrypky,Хрипки,Хрипки
Tsvitove,Цветово,Цвітове
Chorniaky,Черняки,Чорняки
Shenhariivka,Шенгариевка,Шенгаріївка
Shkurpely,Шкурпелы,Шкурпели
Yatsyne-Okari,Яцыно-Окари,Яцине-Окарі
Babaikove,Бабайково,Бабайкове
Korolenkivka,Короленковка,Короленківка
Lypianka,Липянка,Лип'янка
Holoborodkivske,Голобородьковское,Голобородьківське
Solona Balka,Соленая Балка,Солона Балка
Tahamlytske,Тагамлыкское,Тагамлицьке
Kobeliaky,Кобеляки,Кобеляки
Brachkivka,Брачковка,Брачківка
Brynzy,Брынзы,Бринзи
Brodshchyna,Бродщина,Бродщина
Vibly,Виблые,Вібли
Vilkhovatka,Ольховатка,Вільховатка
Vodolahivka,Водолаговка,Водолагівка
Haimarivka,Гаймаровка,Гаймарівка
Halahurivka,Галагуровка,Галагурівка
Hali-Horbatky,Гали-Горбатки,Галі-Горбатки
Hanzhivka,Ганжевка,Ганжівка
Dashkivka,Дашковка,Дашківка
Demenky,Деменки,Деменки
Kanavy,Канавы,Канави
Kyshenky,Кишеньки,Кишеньки
Kovalenkivka,Коваленковка,Коваленківка
Kolisnykivka,Колесниковка,Колісниківка
Kunivka,Куновка,Кунівка
Levanevske,Леваневское,Леваневське
Lesynky,Лесинки,Лесинки
Lytvyny,Литвины,Литвини
Livoberezhna Sokilka,Левобережная Соколка,Лівобережна Сокілка
Lishchynivka,Лещиновка,Ліщинівка
Luchky,Лучки,Лучки
Midianivka,Медяновка,Мідянівка
Orlyk,Орлик,Орлик
Panske,Панское,Панське
Pidhora,Подгора,Підгора
Povody,Поводы,Поводи
Pravoberezhna Sokilka,Правобережная Соколка,Правобережна Сокілка
Proskury,Проскуры,Проскури
Prosianykivka,Просяниковка,Просяниківка
Proshchurady,Прощурады,Прощуради
Revushchyne,Ревущино,Ревущине
Samarshchyna,Самарщина,Самарщина
Sukhynivka,Сухиновка,Сухинівка
Tverdokhliby,Твердохлебы,Твердохліби
Shenhury,Шенгуры,Шенгури
Kolomatske,Коломацкое,Коломацьке
Male Ladyzhyne,Малое Ладыжино,Мале Ладижине
Rubanivka,Рубановка,Рубанівка
Starytskivka,Старицковка,Старицьківка
Kotelva,Котельва,Котельва
Bilsk,Бельск,Більськ
Derevky,Деревки,Деревки
Mykhailivka Persha,Михайловка-Первая,Михайлівка Перша
Mykhailove,Михайлово,Михайлове
Sydoriache,Сидоряче,Сидоряче
Lanna,Ланна,Ланна
Verkhnia Lanna,Верхняя Ланная,Верхня Ланна
Kumy,Кумы,Куми
Lvivske,Львовское,Львівське
Nyzhnia Lanna,Нижняя Ланная,Нижня Ланна
Reduty,Редуты,Редути
Kholodne Pleso,Холодное Плесо,Холодне Плесо
Chalivka,Чаловка,Чалівка
Bilukhivka,Белуховка,Білухівка
Znamenka,Знаменка,Знаменка
Vakulykha,Вакулиха,Вакулиха
Tyshenkivka,Тишенковка,Тишенківка
Machukhy,Мачехи,Мачухи
Bondury,Бондуры,Бондури
Brailky,Браилки,Браїлки
Vasky,Васьки,Васьки
Hvozdykivka,Гвоздиковка,Гвоздиківка
Klymenky,Клименки,Клименки
Kovanchyk,Кованчик,Кованчик
Kuklyntsi,Куклинцы,Куклинці
Mali Kozuby,Малые Козубы,Малі Козуби
Pysarenky,Писаренки,Писаренки
Pidlepychi,Подлепичи,Підлепичі
Poluziria,Полузорье,Полузір'я
Snopove,Сноповое,Снопове
Sudiivka,Судиевка,Судіївка
Cherednyky,Чередники,Чередники
Mashivka,Машевка,Машівка
Bazylivshchyna,Базилевщина,Базилівщина
Koshmanivka,Кошмановка,Кошманівка
Latyshivka,Латышовка,Латишівка
Novyi Tahamlyk,Новый Тагамлык,Новий Тагамлик
Ohuivka,Огуевка,Огуївка
Sakhnivshchyna,Сахновщина,Сахнівщина
Seleshchyna,Селещина,Селещина
Tymchenkivka,Тимченковка,Тимченківка
Hrabivshchyna,Грабовщина,Грабівщина
Zhyrkivka,Жирковка,Жирківка
Konovalivka,Коноваловка,Коновалівка
Kustolovo-Sukhodilka,Кустолово-Суходолка,Кустолово-Суходілка
Mala Nekhvoroshcha,Малая Нехвороща,Мала Нехвороща
Riaske,Рясское,Ряське
Ust-Lypianka,Усть-Липянка,Усть-Лип'янка
Hubarivka,Губаревка,Губарівка
Livenske,Ливенское,Лівенське
Rekunivka,Рекуновка,Рекунівка
Svitlivshchyna,Светловщина,Світлівщина
Sokolova Balka,Соколова Балка,Соколова Балка
Shediieve,Шедиево,Шедієве
Novi Sanzhary,Новые Санжары,Нові Санжари
Becheve,Бечевое,Бечеве
Bryduny,Бридуны,Бридуни
Velyke Boloto,Великое Болото,Велике Болото
Velykyi Kobeliachok,Великий Кобелячек,Великий Кобелячок
Velyki Solontsi,Великие Солонцы,Великі Солонці
Visychi,Висичи,Вісичі
Hanzhi,Ганжи,Ганжі
Horobtsi,Горобцы,Горобці
Hrekopavlivka,Грекопавловка,Грекопавлівка
Yemtseva Dolyna,Емцева Долина,Ємцева Долина
Zabridky,Забродки,Забрідки
Zachepylivka,Зачепиловка,Зачепилівка
Kalnytske,Кальницкое,Кальницьке
Kliusivka,Клюсовка,Клюсівка
Koby,Кобы,Коби
Kozuby,Козубы,Козуби
Kustolove Pershe,Кустолово-Первое,Кустолове Перше
Lakhny,Лахны,Лахни
Leliukhivka,Лелюховка,Лелюхівка
Mala Pereshchepyna,Малая Перещепина,Мала Перещепина
Malyi Kobeliachok,Малый Кобелячек,Малий Кобелячок
Oliinyky,Олейники,Олійники
Polohy-Nyz,Пологи-Низ,Пологи-Низ
Pudlivka,Пудловка,Пудлівка
Rudenkivka,Руденковка,Руденківка
Sobkivka,Собковка,Собківка
Stari Sanzhary,Старые Санжары,Старі Санжари
Stovbyna Dolyna,Столбина Долина,Стовбина Долина
Stryzhivshchyna,Стрижевщина,Стрижівщина
Suprotyvna Balka,Супротивная Балка,Супротивна Балка
Shovkopliasy,Шелкоплясы,Шовкопляси
Shportky,Шпортки,Шпортьки
Bozhkivske,Божковское,Божківське
Bozhkove,Божково,Божкове
Brunivka,Бруновка,Брунівка
Vasyltsi,Васильцы,Васильці
Vilkhivshchyna,Ольховщина,Вільхівщина
Vilkhovyi Rih,Ольховый Рог,Вільховий Ріг
Havrylky,Гаврилки,Гаврилки
Hloby,Глобы,Глоби
Hontari,Гонтари,Гонтарі
Zabariany,Забаряны,Забаряни
Karnaukhy,Карнаухи,Карнаухи
Kovankivka,Кованьковка,Кованьківка
Kolomak,Коломак,Коломак
Kriukove,Крюково,Крюкове
Naderzhynshchyna,Надержинщина,Надержинщина
Nesterenky,Нестеренки,Нестеренки
Opishniany,Опошняны,Опішняни
Paskivka,Пасковка,Пасківка
Runivshchyna,Руновщина,Рунівщина
Susidky,Соседки,Сусідки
Siahaily,Сягайлы,Сягайли
Terentiivka,Терентиевка,Терентіївка
Fysuny,Фисуны,Фисуни
Shyly,Шилы,Шили
Opishnia,Опошня,Опішня
Babanske,Бабанское,Бабанське
Batky,Батьки,Батьки
Bezruky,Безруки,Безруки
Bukhalivka,Бухаловка,Бухалівка
Vintentsi,Винтенцы,Вінтенці
Deriahy,Деряги,Деряги
Drany,Драны,Драни
Zaiky,Заики,Заїки
Zaichentsi,Заиченцы,Заїченці
Karabazivka,Карабазовка,Карабазівка
Kyriakove,Киряково,Кирякове
Kolchenky,Кольченки,Кольченки
Korliukove,Корлюково,Корлюкове
Lavryntsi,Лавринцы,Лавринці
Mysyky,Мысики,Мисики
Miski Mlyny,Миськи Млыны,Міські Млини
Pruhly,Пруглы,Пругли
Ustymenky,Устименки,Устименки
Khyzhniakivka,Хижняковка,Хижняківка
Chovno-Fedorivka,Челно-Федоровка,Човно-Федорівка
Abazivka,Абазовка,Абазівка
Bershatske,Бершацкое,Бершацьке
Biolohichne,Биологическое,Біологічне
Bochanivka,Бочановка,Бочанівка
Brychkivka,Бричковка,Бричківка
Valok,Валок,Валок
Verkholy,Верхолы,Верхоли
Vytivka,Вытевка,Витівка
Hlukhove,Глухово,Глухове
Hovtvianchyk,Говтвянчик,Говтвянчик
Hozhuly,Гожулы,Гожули
Hrabynivka,Грабиновка,Грабинівка
Hutyrivka,Гутыревка,Гутирівка
Zaturyne,Затурино,Затурине
Ivashky,Ивашки,Івашки
Yizhakivka,Ежаковка,Їжаківка
Kaplunivka,Каплуновка,Каплунівка
Karpusi,Карпуси,Карпусі
Keleberdivka,Келебердовка,Келебердівка
Kostochky,Косточки,Косточки
Makartsivka,Макарцовка,Макарцівка
Makukhivka,Макуховка,Макухівка
Nosivka,Носовка,Носівка
Olepiry,Олепиры,Олепіри
Ochkanivka,Очкановка,Очканівка
Palchykivka,Пальчиковка,Пальчиківка
Patlaivka,Патлаивка,Патлаївка
Rozhaivka,Рожаевка,Рожаївка
Semianivka,Семьяновка,Сем'янівка
Solomakhivka,Соломаховка,Соломахівка
Takhtaulove,Тахтаулово,Тахтаулове
Tryrohove,Трирогово,Трирогове
Umantsivka,Уманцевка,Уманцівка
Tsyhanske,Цыганское,Циганське
Shostaky,Шостаки,Шостаки
Yatsynova Slobidka,Яцынова Слободка,Яцинова Слобідка
Reshetylivka,Решетиловка,Решетилівка
Bilokoni,Белокони,Білоконі
Brateshky,Братешки,Братешки
Buzynivshchyna,Бузиновщина,Бузинівщина
Buniakivka,Буняковка,Буняківка
Hovtva,Говтва,Говтва
Holuby,Голубы,Голуби
Holmanivka,Гольмановка,Гольманівка
Kolinky,Коленьки,Коліньки
Kolotii,Колотии,Колотії
Kryvky,Кривки,Кривки
Krokhmaltsi,Крахмальцы,Крохмальці
Kukobivka,Кукобовка,Кукобівка
Lyman Druhyi,Лиман-Второй,Лиман Другий
Lyman Pershyi,Лиман-Первый,Лиман Перший
Lobachi,Лобачи,Лобачі
Liutivka,Лютовка,Лютівка
Malyi Bakai,Малый Бакай,Малий Бакай
Mykhnivka,Михновка,Михнівка
Molodykivshchyna,Молодиковщина,Молодиківщина
Mushty,Мушты,Мушти
Miakenkivka,Мякеньковка,М'якеньківка
Nova Dykanka,Новая Диканька,Нова Диканька
Nova Mykhailivka,Новая Михайловка,Нова Михайлівка
Nove Ostapove,Новое Остапово,Нове Остапове
Olefiry,Олефиры,Олефіри
Ostapie,Остапье,Остап'є
Panenky,Паненки,Паненки
Pasichnyky,Пасечники,Пасічники
Paskivka,Паськовка,Паськівка
Pashchenky,Пащенки,Пащенки
Pidok,Подок,Підок
Poteriaiky,Потеряйки,Потеряйки
Poteriaiky-Horovi,Потеряйки-Горовые,Потеряйки-Горові
Prokopivka,Прокоповка,Прокопівка
Pustovary,Пустовары,Пустовари
Seni,Сени,Сені
Slavky,Славки,Славки
Sukhorabivka,Сухорабовка,Сухорабівка
Tryvaily,Тривайлы,Тривайли
Tury,Туры,Тури
Tutaky,Тутаки,Тутаки
Ukhanivka,Ухановка,Уханівка
Khoruzhi,Хоружи,Хоружі
Khreshchate,Хрещатое,Хрещате
Sharlai,Шарлаи,Шарлаї
Shyshatske,Шишацкое,Шишацьке
Shkurupii,Шкурупии,Шкурупії
Shkurupiivka,Шкурупиевка,Шкурупіївка
Shramky,Шрамки,Шрамки
Yatsenky,Яценки,Яценки
Skorokhodove,Скороходово,Скороходове
Vilnytsia,Вольница,Вільниця
Lysivshchyna,Лысовщина,Лисівщина
Nova Kochubeivka,Новая Кочубеевка,Нова Кочубеївка
Riabkivka,Рябковка,Рябківка
Skybivka,Скибовка,Скибівка
Fylenkove,Филенково,Филенкове
Florivka,Флоровка,Флорівка
Bezruchky,Безручки,Безручки
Buzova Paskivka,Бузовая Пасковка,Бузова Пасківка
Vatazhkove,Ватажково,Ватажкове
Vatsi,Вацы,Ваці
Holovach,Головач,Головач
Zavorsklo,Заворскло,Заворскло
Zintsi,Зенцы,Зінці
Kashubivka,Кашубовка,Кашубівка
Kliushnyky,Клюшники,Клюшники
Kopyly,Копылы,Копили
Kurylekhivka,Курилеховка,Курилехівка
Lukyshchyna,Лукищина,Лукищина
Male Mykilske,Малое Никольское,Мале Микільське
Portnivka,Портновка,Портнівка
Tsybuli,Цыбули,Цибулі
Chutove,Чутово,Чутове
Verkhni Rivni,Верхние Ровни,Верхні Рівні
Vynomynivka,Виноминовка,Виноминівка
Vilkhuvatka,Ольховатка,Вільхуватка
Hriakove,Гряково,Грякове
Dondasivka,Дондасовка,Дондасівка
Zelenkivka,Зеленковка,Зеленківка
Kantemyrivka,Кантемировка,Кантемирівка
Kochubeivka,Кочубеевка,Кочубеївка
Lysycha,Лисичья,Лисича
Nyzhni Rivni,Нижние Ровни,Нижні Рівні
Nove Hriakove,Новое Гряково,Нове Грякове
Okhoche,Охочее,Охоче
Rozpashne,Распашное,Розпашне
Smorodshchyna,Смородщина,Смородщина
Storozhove,Сторожевое,Сторожове
Taverivka,Таверовка,Таверівка
Toibik,Тойбик,Тойбік
Cherniakivka,Черняковка,Черняківка
Yunaky,Юнаки,Юнаки
Bulanove,Буланово,Буланове
Velykyi Trostianets,Великий Тростянец,Великий Тростянець
Vyshchi Vilshany,Высшие Ольшаны,Вищі Вільшани
Horbanivka,Горбаневка,Горбанівка
Malyi Trostianets,Малый Тростянец,Малий Тростянець
Nyzhni Vilshany,Нижние Ольшаны,Нижні Вільшани
Nyzhni Mlyny,Нижние Млыны,Нижні Млини
Pozharna Balka,Пожарная Балка,Пожарна Балка
Rozsoshentsi,Рассошенцы,Розсошенці
Sapozhyne,Сапожино,Сапожине
Velyki Tseptsevychi,Великие Цепцевичи,Великі Цепцевичі
Netreba,Нетреба,Нетреба
Chakva,Чаква,Чаква
Varash,Вараш,Вараш
Babka,Бабка,Бабка
Bilska Volia,Бельская Воля,Більська Воля
Mulchytsi,Мульчицы,Мульчиці
Sobishchytsi,Собещицы,Собіщиці
Sopachiv,Сопачов,Сопачів
Stara Rafalivka,Старая Рафаловка,Стара Рафалівка
Urichchia,Уречье,Уріччя
Shchokiv,Щеков,Щоків
Volodymyrets,Владимирец,Володимирець
Byshliak,Бышляк,Бишляк
Velyki Telkovychi,Великие Телковичи,Великі Телковичі
Dovhovolia,Долговоля,Довговоля
Zhovkyni,Жовкини,Жовкині
Luko,Луко,Луко
Liubakhy,Любахи,Любахи
Mali Telkovychi,Малые Телковичи,Малі Телковичі
Ostrivtsi,Островцы,Острівці
Polovli,Половли,Половлі
Radyzheve,Радыжево,Радижеве
Stepanhorod,Степангород,Степангород
Khynochi,Хиночи,Хиночі
Chudlia,Чудля,Чудля
Brodnytsia,Бродница,Бродниця
Vychivka,Вичевка,Вичівка
Vovchytsi,Волчицы,Вовчиці
Holubne,Голубное,Голубне
Dibrivsk,Дибровск,Дібрівськ
Zhdan,Ждань,Ждань
Komory,Коморы,Комори
Konyk,Коник,Коник
Kukhitska Volia,Кухотская Воля,Кухітська Воля
Lysychyn,Лисичин,Лисичин
Morochne,Морочное,Морочне
Mutvytsia,Мутвица,Мутвиця
Nenkovychi,Неньковичи,Неньковичі
Novorichytsia,Новоречица,Новорічиця
Oleksandrove,Александрово,Олександрове
Ostrivsk,Островск,Острівськ
Perekallia,Перекалье,Перекалля
Pryvitivka,Приветовка,Привітівка
Solomyr,Соломир,Соломир
Tykhovyzh,Тиховиж,Тиховиж
Kanonychi,Каноничи,Каноничі
Kidry,Кидры,Кідри
Loknytsia,Локница,Локниця
Horynychi,Горыничи,Гориничі
Didivka,Дедовка,Дідівка
Dubchytsi,Дубчицы,Дубчиці
